"fromRegionID";"fromConstellationID";"fromSolarSystemID";"toSolarSystemID";"toConstellationID";"toRegionID"
"10.000.001";"20.000.001";"30.000.001";"30.000.003";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.001";"30.000.005";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.001";"30.000.007";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.002";"30.000.005";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.002";"30.002.973";"20.000.435";"10.000.036"
"10.000.001";"20.000.001";"30.000.003";"30.000.001";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.003";"30.000.007";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.003";"30.000.052";"20.000.008";"10.000.001"
"10.000.001";"20.000.001";"30.000.003";"30.000.084";"20.000.012";"10.000.001"
"10.000.001";"20.000.001";"30.000.004";"30.000.005";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.004";"30.002.509";"20.000.367";"10.000.030"
"10.000.001";"20.000.001";"30.000.005";"30.000.001";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.005";"30.000.002";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.005";"30.000.004";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.005";"30.000.032";"20.000.005";"10.000.001"
"10.000.001";"20.000.001";"30.000.006";"30.000.008";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.006";"30.000.023";"20.000.004";"10.000.001"
"10.000.001";"20.000.001";"30.000.007";"30.000.001";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.007";"30.000.003";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.007";"30.000.008";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.008";"30.000.006";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.008";"30.000.007";"20.000.001";"10.000.001"
"10.000.001";"20.000.001";"30.000.008";"30.000.057";"20.000.009";"10.000.001"
"10.000.001";"20.000.001";"30.000.008";"30.000.076";"20.000.011";"10.000.001"
"10.000.001";"20.000.002";"30.000.009";"30.000.010";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.010";"30.000.009";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.010";"30.000.011";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.010";"30.000.013";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.011";"30.000.010";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.011";"30.000.038";"20.000.006";"10.000.001"
"10.000.001";"20.000.002";"30.000.012";"30.000.013";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.012";"30.000.073";"20.000.010";"10.000.001"
"10.000.001";"20.000.002";"30.000.013";"30.000.010";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.013";"30.000.012";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.013";"30.000.014";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.013";"30.000.015";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.013";"30.000.016";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.014";"30.000.013";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.014";"30.000.090";"20.000.013";"10.000.001"
"10.000.001";"20.000.002";"30.000.014";"30.000.098";"20.000.014";"10.000.001"
"10.000.001";"20.000.002";"30.000.015";"30.000.013";"20.000.002";"10.000.001"
"10.000.001";"20.000.002";"30.000.015";"30.000.018";"20.000.003";"10.000.001"
"10.000.001";"20.000.002";"30.000.015";"30.000.046";"20.000.007";"10.000.001"
"10.000.001";"20.000.002";"30.000.015";"30.001.047";"20.000.153";"10.000.012"
"10.000.001";"20.000.002";"30.000.016";"30.000.013";"20.000.002";"10.000.001"
"10.000.001";"20.000.003";"30.000.017";"30.000.018";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.017";"30.000.020";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.017";"30.000.021";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.017";"30.000.022";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.018";"30.000.015";"20.000.002";"10.000.001"
"10.000.001";"20.000.003";"30.000.018";"30.000.017";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.018";"30.000.021";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.019";"30.000.022";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.020";"30.000.017";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.021";"30.000.017";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.021";"30.000.018";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.022";"30.000.017";"20.000.003";"10.000.001"
"10.000.001";"20.000.003";"30.000.022";"30.000.019";"20.000.003";"10.000.001"
"10.000.001";"20.000.004";"30.000.023";"30.000.006";"20.000.001";"10.000.001"
"10.000.001";"20.000.004";"30.000.023";"30.000.024";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.023";"30.000.030";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.024";"30.000.023";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.024";"30.000.025";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.024";"30.000.027";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.024";"30.000.028";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.025";"30.000.024";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.025";"30.000.026";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.025";"30.000.027";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.025";"30.000.028";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.026";"30.000.025";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.026";"30.000.028";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.026";"30.000.029";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.026";"30.000.030";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.027";"30.000.024";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.027";"30.000.025";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.027";"30.000.028";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.028";"30.000.024";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.028";"30.000.025";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.028";"30.000.026";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.028";"30.000.027";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.028";"30.000.064";"20.000.009";"10.000.001"
"10.000.001";"20.000.004";"30.000.029";"30.000.026";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.029";"30.000.030";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.030";"30.000.023";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.030";"30.000.026";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.030";"30.000.029";"20.000.004";"10.000.001"
"10.000.001";"20.000.004";"30.000.030";"30.000.112";"20.000.016";"10.000.001"
"10.000.001";"20.000.005";"30.000.031";"30.000.033";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.031";"30.000.035";"20.000.005";"10.000.001"
