"regionID";"constellationID";"solarSystemID";"solarSystemName";"x";"y";"z";"xMin";"xMax";"yMin";"yMax";"zMin";"zMax";"luminosity";"border";"fringe";"corridor";"hub";"international";"regional";"constellation";"security";"factionID";"radius";"sunTypeID";"securityClass";"allianceID"
"10.000.001";"20.000.001";"30.000.001";"Tanoo";"-88.510.792.599.980.600,00";"42.369.443.966.878.900,00";"44.513.525.346.479.700,00";"-88.511.903.148.490.600,00";"-88.509.256.471.760.600,00";"42.369.297.927.489.100,00";"42.369.645.749.263.900,00";"44.513.036.355.892.800,00";"44.514.111.689.782.900,00";"0,02";"true";"false";"false";"true";"true";"true";"true";"0,86";"";"1.323.338.364.984,00";"3.802";"B";""
"10.000.001";"20.000.001";"30.000.002";"Lashesih";"-103.300.968.263.126.000,00";"41.707.503.568.269.900,00";"29.856.304.129.795.100,00";"-103.301.565.089.828.000,00";"-103.299.528.289.840.000,00";"41.707.467.566.727.800,00";"41.707.590.413.426.600,00";"29.856.173.282.507.000,00";"29.856.912.011.988.000,00";"0,01";"true";"false";"true";"false";"true";"true";"true";"0,75";"";"1.018.399.993.728,00";"3.798";"B";""
"10.000.001";"20.000.001";"30.000.003";"Akpivem";"-91.174.141.133.075.300,00";"43.938.227.486.247.200,00";"56.482.824.383.339.900,00";"-91.178.287.363.603.500,00";"-91.173.340.638.605.200,00";"43.938.185.719.395.300,00";"43.938.444.193.380.400,00";"56.481.267.537.910.500,00";"56.483.655.715.390.500,00";"0,62";"true";"false";"false";"true";"false";"false";"true";"0,85";"";"2.473.362.499.136,00";"3.799";"B";""
"10.000.001";"20.000.001";"30.000.004";"Jark";"-93.675.926.352.178.900,00";"50.604.244.962.328.900,00";"28.403.529.106.921.700,00";"-93.677.382.085.044.700,00";"-93.675.486.150.896.600,00";"50.604.201.734.808.700,00";"50.604.387.914.744.900,00";"28.403.308.300.704.900,00";"28.406.851.125.344.300,00";"0,35";"true";"false";"true";"false";"true";"true";"true";"0,82";"";"1.771.412.319.698,00";"6";"B";""
"10.000.001";"20.000.001";"30.000.005";"Sasta";"-94.782.157.961.997.600,00";"43.126.247.352.903.300,00";"31.896.707.679.918.000,00";"-94.782.866.241.535.500,00";"-94.777.738.348.823.700,00";"43.126.190.605.720.800,00";"43.126.597.636.738.800,00";"31.892.607.357.474.000,00";"31.896.947.011.689.000,00";"0,02";"true";"false";"false";"true";"false";"false";"true";"0,81";"";"2.563.946.355.912,00";"3.800";"B";""
"10.000.001";"20.000.001";"30.000.006";"Zaid";"-84.792.151.138.856.200,00";"52.313.455.798.179.300,00";"57.073.934.529.882.300,00";"-84.793.773.315.320.000,00";"-84.790.304.431.444.100,00";"52.313.243.548.626.300,00";"52.313.642.323.674.000,00";"57.073.253.488.129.400,00";"57.075.591.223.245.900,00";"0,02";"true";"false";"true";"false";"false";"false";"true";"0,86";"";"1.734.441.937.976,00";"7";"B";""
"10.000.001";"20.000.001";"30.000.007";"Yuzier";"-90.367.509.013.110.200,00";"53.447.700.930.943.300,00";"49.040.399.037.769.900,00";"-90.368.455.589.897.700,00";"-90.365.860.977.341.600,00";"53.447.587.319.198.200,00";"53.447.898.494.476.100,00";"49.039.836.463.312.800,00";"49.040.669.843.783.000,00";"0,01";"false";"false";"false";"true";"false";"false";"false";"0,91";"";"1.297.306.278.056,00";"3.800";"B";""
"10.000.001";"20.000.001";"30.000.008";"Nirbhi";"-91.576.103.536.388.500,00";"57.332.802.739.327.700,00";"55.255.057.964.526.300,00";"-91.579.534.302.267.700,00";"-91.574.341.925.251.100,00";"57.332.775.890.501.900,00";"57.332.816.522.733.900,00";"55.252.219.447.897.200,00";"55.259.653.044.695.500,00";"0,04";"true";"false";"false";"true";"false";"false";"true";"0,88";"";"3.716.798.399.124,00";"3.800";"B";""
"10.000.001";"20.000.002";"30.000.009";"Sooma";"-84.094.731.140.215.200,00";"69.205.928.804.160.700,00";"75.226.052.138.828.800,00";"-84.095.782.483.213.100,00";"-84.092.995.295.928.100,00";"69.205.920.050.711.700,00";"69.205.943.271.846.100,00";"75.225.464.050.781.500,00";"75.229.135.709.334.900,00";"0,01";"false";"true";"false";"false";"false";"false";"false";"0,58";"";"1.835.829.276.688,00";"3.800";"B1";""
"10.000.001";"20.000.002";"30.000.010";"Chidah";"-80.588.856.520.120.800,00";"61.645.557.287.376.800,00";"79.770.931.668.461.900,00";"-80.590.207.811.444.200,00";"-80.584.539.285.184.900,00";"61.645.378.830.638.600,00";"61.646.127.437.224.000,00";"79.769.194.381.150.500,00";"79.772.810.227.654.800,00";"0,07";"false";"false";"false";"true";"false";"false";"false";"0,54";"";"2.834.263.129.672,00";"8";"B1";""
