"typeID";"groupID";"typeName";"description";"graphicID";"radius";"mass";"volume";"capacity";"portionSize";"raceID";"basePrice";"published";"marketGroupID";"chanceOfDuplicating"
"0";"0";"#System";"";"";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"2";"2";"Corporation";"";"2";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"3";"3";"Region";"";"4";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"4";"4";"Constellation";"";"5";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"5";"5";"Solar System";"";"6";"5.000.000.000.000,00";"0,00";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"6";"6";"Sun G5 (Yellow)";"";"1.015";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"7";"6";"Sun K7 (Orange)";"";"1.012";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"8";"6";"Sun K5 (Red Giant)";"";"1.013";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"9";"6";"Sun B0 (Blue)";"";"1.011";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"10";"6";"Sun F0 ( White )";"";"1.014";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"11";"7";"Planet (Solid)";"";"202";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"12";"7";"Planet (Ice)";"";"212";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"13";"7";"Planet (Gas)";"";"214";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"14";"8";"Moon";"";"10";"10.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"15";"9";"Asteroid Belt";"";"11";"1,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"16";"10";"Stargate (Caldari 2)";"";"235";"3.836,00";"1E35";"1,00";"0,00";"1";"1";"0,00";"false";"";"0,00"
"17";"10";"Stargate (Amarr 1)";"";"236";"2.323,00";"1E35";"1,00";"0,00";"1";"4";"0,00";"false";"";"0,00"
"18";"458";"Plagioclase";"Plagioclase is not amongst the most valuable ore types around, but it has the largest amount of pyerite of any ore and is thus always in constant demand. It also yields some tritanium and mexallon. It requires 333 ore units to refine.";"230";"1,00";"1E35";"0,35";"0,00";"333";"";"0,00";"false";"516";"0,00"
"19";"461";"Spodumain";"Spodumain is amongst the most valuable ore types around, as it is one of only three ore types that yields the ultra-rare megacyte. Otherwise very plain, with a bit of tritanium and pyerite. 250 ore units are needed to refine.";"1.274";"1,00";"1E35";"16,00";"0,00";"250";"";"0,00";"false";"517";"0,00"
"20";"457";"Kernite";"Kernite is a fairly common ore type that yields the largest amount of mexallon of any ore types in the world. Besides mexallon the Kernite also has a bit of tritanium and isogen. 400 units of ore are needed for refining.";"1.270";"1,00";"1E35";"1,20";"0,00";"400";"";"0,00";"false";"523";"0,00"
